Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1340552,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,33138,Web,4/21/2015,4/21/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1339051,Student loan,Non-federal student loan,Getting a loan,,MI,48092,Phone,4/21/2015,4/23/2015,Genesis Lending,Closed with explanation,Yes,
1338996,Debt collection,,Communication tactics,Frequent or repeated calls,NY,13045,Web,4/21/2015,4/24/2015,First Choice Assets LLC.,Closed with explanation,Yes,
1338985,Credit card,,Billing statement,,MD,21136,Fax,4/21/2015,4/23/2015,Bank of America,Closed with explanation,Yes,
1338993,Payday loan,,Charged fees or interest I didn't expect,,MD,20747,Phone,4/21/2015,4/23/2015,Red Rock Tribal Lending,Closed with explanation,Yes,
1338987,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,10956,Web,4/21/2015,4/21/2015,Bank of America,In progress,Yes,
1340550,Bank account or service,Checking account,Using a debit or ATM card,,NJ,7042,Web,4/21/2015,4/21/2015,Santander Bank US,Closed with explanation,Yes,Yes
1339046,Debt collection,,Communication tactics,Frequent or repeated calls,KS,66212,Web,4/21/2015,4/23/2015,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,
1339012,Debt collection,,False statements or representation,Impersonated an attorney or official,PA,17754,Web,4/21/2015,5/8/2015,PHOENIX EQUITY PARTNERS LLC,In progress,Yes,
1338999,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,80219,Web,4/21/2015,4/21/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1339011,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,DC,20011,Web,4/21/2015,4/21/2015,Ocwen,Closed with explanation,Yes,
1339002,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,GA,31308,Web,4/21/2015,4/23/2015,"PMAB, LLC",Closed with explanation,Yes,
1339008,Student loan,Non-federal student loan,Dealing with my lender or servicer,,GA,30281,Web,4/21/2015,4/21/2015,Navient,Closed with explanation,Yes,
